ddot_time,dgemv_time,ddot_size,dgemv_size
0.000033,0.000014,1,1
0.000001,0.000001,1,1
0.000000,0.000001,1,1
0.000000,0.000001,1,1
0.000000,0.000001,1,1
0.000000,0.000001,1,1
0.000001,0.000001,1,1
0.000000,0.000001,1,1
0.000000,0.000001,1,1
0.000000,0.000001,1,1
0.000028,0.002507,201,201
0.000024,0.002274,201,201
0.000020,0.003182,201,201
0.000011,0.001751,201,201
0.000010,0.002236,201,201
0.000010,0.011183,201,201
0.000010,0.001237,201,201
0.000012,0.000985,201,201
0.000011,0.000942,201,201
0.000010,0.000943,201,201
0.000019,0.003965,401,401
0.000020,0.003840,401,401
0.000019,0.003655,401,401
0.000018,0.003654,401,401
0.000018,0.003657,401,401
0.000018,0.003743,401,401
0.000019,0.003657,401,401
0.000019,0.003661,401,401
0.000019,0.003655,401,401
0.000018,0.003656,401,401
0.000028,0.008798,601,601
0.000028,0.008456,601,601
0.000028,0.008195,601,601
0.000028,0.008681,601,601
0.000028,0.008194,601,601
0.000028,0.008192,601,601
0.000028,0.008193,601,601
0.000028,0.008192,601,601
0.000028,0.008192,601,601
0.000028,0.008299,601,601
0.000037,0.015635,801,801
0.000049,0.014965,801,801
0.000037,0.014580,801,801
0.000037,0.014719,801,801
0.000037,0.014559,801,801
0.000037,0.014579,801,801
0.000037,0.014544,801,801
0.000037,0.014583,801,801
0.000037,0.014541,801,801
0.000037,0.014550,801,801
0.000048,0.024446,1001,1001
0.000047,0.023349,1001,1001
0.000046,0.022825,1001,1001
0.000046,0.022803,1001,1001
0.000046,0.022804,1001,1001
0.000046,0.022787,1001,1001
0.000046,0.022803,1001,1001
0.000046,0.022863,1001,1001
0.000046,0.022799,1001,1001
0.000046,0.022788,1001,1001
0.000055,0.035294,1201,1201
0.000056,0.035559,1201,1201
0.000056,0.033174,1201,1201
0.000056,0.033124,1201,1201
0.000055,0.032975,1201,1201
0.000055,0.033079,1201,1201
0.000059,0.039043,1201,1201
0.000070,0.044598,1201,1201
0.000077,0.045917,1201,1201
0.000077,0.047489,1201,1201
0.000090,0.069002,1401,1401
0.000091,0.065409,1401,1401
0.000090,0.064550,1401,1401
0.000090,0.065444,1401,1401
0.000095,0.070092,1401,1401
0.000095,0.065263,1401,1401
0.000093,0.063593,1401,1401
0.000094,0.062921,1401,1401
0.000094,0.064339,1401,1401
0.000090,0.063937,1401,1401
0.000109,0.089164,1601,1601
0.000109,0.084580,1601,1601
0.000108,0.086563,1601,1601
0.000108,0.085602,1601,1601
0.000102,0.084486,1601,1601
0.000108,0.084192,1601,1601
0.000109,0.085200,1601,1601
0.000103,0.083806,1601,1601
0.000103,0.083242,1601,1601
0.000103,0.084435,1601,1601
0.000122,0.114423,1801,1801
0.000123,0.107445,1801,1801
0.000116,0.105074,1801,1801
0.000115,0.106381,1801,1801
0.000121,0.105299,1801,1801
0.000115,0.108635,1801,1801
0.000122,0.106369,1801,1801
0.000115,0.105187,1801,1801
0.000115,0.106639,1801,1801
0.000121,0.105169,1801,1801
0.000128,0.140032,2001,2001
0.000119,0.126856,2001,2001
0.000122,0.126357,2001,2001
0.000121,0.127825,2001,2001
0.000122,0.127084,2001,2001
0.000122,0.129591,2001,2001
0.000122,0.126770,2001,2001
0.000122,0.127282,2001,2001
0.000122,0.127084,2001,2001
0.000122,0.127370,2001,2001
0.000141,0.161768,2201,2201
0.000113,0.153966,2201,2201
0.000114,0.155679,2201,2201
0.000114,0.154655,2201,2201
0.000114,0.156488,2201,2201
0.000114,0.154564,2201,2201
0.000114,0.153759,2201,2201
0.000113,0.154889,2201,2201
0.000118,0.155482,2201,2201
0.000113,0.153783,2201,2201
