x,y
-4.2,2.56
-4.1,2.59473
-4,2.62895
-3.9,2.66267
-3.8,2.69587
-3.7,2.72857
-3.6,2.76077
-3.5,2.79245
-3.4,2.82363
-3.3,2.8543
-3.2,2.88447
-3.1,2.91412
-3,2.94327
-2.9,2.97192
-2.8,3.00005
-2.7,3.02768
-2.6,3.0548
-2.5,3.08142
-2.4,3.10752
-2.3,3.13312
-2.2,3.15822
-2.1,3.1828
-2,3.20688
-1.9,3.23045
-1.8,3.25351
-1.7,3.27607
-1.6,3.29812
-1.5,3.31966
-1.4,3.3407
-1.3,3.36122
-1.2,3.38125
-1.1,3.40076
-1,3.41976
-0.9,3.43826
-0.8,3.45626
-0.7,3.47374
-0.6,3.49072
-0.5,3.50719
-0.4,3.52315
-0.3,3.53861
-0.2,3.55356
-0.1,3.568
2.85882e-15,3.58193
0.1,3.59536
0.2,3.60828
0.3,3.62069
0.4,3.6326
0.5,3.644
0.6,3.65489
0.7,3.66527
0.8,3.67515
0.9,3.68452
1,3.69338
1.1,3.70174
1.2,3.70959
1.3,3.71693
1.4,3.72376
1.5,3.73009
1.6,3.73591
1.7,3.74122
1.8,3.74603
1.9,3.75032
2,3.75411
2.1,3.7574
2.2,3.76017
2.3,3.76244
2.4,3.76421
2.5,3.76546
2.6,3.76621
2.7,3.76645
2.8,3.76618
2.9,3.76541
3,3.76413
3.1,3.76234
3.2,3.76004
3.3,3.75724
3.4,3.75393
3.5,3.75012
3.6,3.74579
3.7,3.74096
3.8,3.73562
3.9,3.72978
4,3.72342
4.1,3.71656
4.2,3.7092
4.3,3.70132
4.4,3.69294
4.5,3.68405
4.6,3.67466
4.7,3.66475
4.8,3.65434
4.9,3.64342
5,3.632
5.1,3.62007
5.2,3.60763
5.3,3.59468
5.4,3.58123
5.5,3.56727
5.6,3.5528
5.7,3.53783
5.8,3.52234
5.9,3.50635
6,3.48986
6.1,3.47285
6.2,3.45534
6.3,3.43733
6.4,3.4188
6.5,3.39977
6.6,3.38023
6.7,3.36018
6.8,3.33963
6.9,3.31857
